name,N,steps,cpu-time,reopts
antilla,70,21,85217.2,0
bach,56,17,33094.4,0
berkessel,48,21,23710.9,0
boscalid,35,16,12717.8,0
cinchonidine,44,33,27093.2,0
gobel,60,39,74209.6,0
hexynoate,28,26,7994.5,0
inoue,37,20,13430.4,0
johnston,53,29,43589.7,0
mikami,44,33,41971.3,0
nakano,85,19,88470.4,0
ricci,42,34,32038.9,0
sasai,53,20,38784.5,0
segphos,72,18,76389.7,1
sulphon,42,24,27795.8,0
superquat,41,16,15001.8,0
takemoto,48,22,25603.7,0
terada,58,19,49433.7,0
urea,69,25,70225.7,1
yamamoto,30,39,9411.4,0
