name,N,steps,cpu-time,reopts
3a,23,5,716.9,0
3b,21,10,1671.4,0
3c,22,12,1862.2,0
3d,22,8,989.2,0
3e,25,7,1383.1,0
3f,27,22,6072.7,0
3g,24,22,4405.3,0
3h,24,14,2222.8,0
