name,N,steps,cpu-time,reopts
2a,11,1,210.3,0
2b,13,1,242.5,0
2c,14,1,345.9,0
2d,12,1,264.3,0
2e,13,1,317.0,0
2f,12,1,206.5,0
2g,12,1,214.0,0
2h,11,1,186.4,0
2i,11,1,210.5,0
