name,N,steps(opt=calcfc),steps(opt),time(opt=calcfc),time(opt),time(freq),dG,RMSD
2a,11,10,5,942.9,239.9,210.3,3.20E-05,2.208901614
2b,13,3,4,481.4,224.4,242.5,7.00E-06,0.000556546
2c,14,4,5,769.4,327.2,345.9,-1.00E-06,0.00032809
2d,12,5,4,618.8,232.9,264.3,1.00E-05,0.000425273
2e,13,4,4,697.5,249.2,317,-5.00E-06,0.000482275
2f,12,5,5,542.2,217.1,206.5,-1.00E-06,8.10E-05
2g,12,15,5,984.5,224.6,214,0.002585,0.008034094
2h,11,4,6,466.1,305.3,186.4,-2.00E-06,0.000522284
2i,11,4,6,485.9,275.5,210.5,0,0.000153646
