name,dE,dG,RMSD
1a,0.08859948059216549,0.003191000000001054,0.30737847999873597
1b,-1.4666936294815969e-05,7.999999994012796e-06,0.0002660263144878486
1c,-2.8299846235313453e-06,-1.1999999998124622e-05,0.00039112274288255266
1d,7.53755375626497e-06,-9.999999974752427e-07,0.0002739559401488705
1e,8.16347892396152e-07,9.99999883788405e-07,0.00022415307269811589
