name,dE,dG,RMSD
antilla,1.9047874957323074e-06,-9.999999747378752e-06,0.000804266636273204
bach,2.4218134058173746e-05,-1.900000006571645e-05,0.004274544962137308
berkessel,1.3605676940642297e-06,-5.999999984851456e-06,0.0006696227517263998
boscalid,0.0,9.000000090964022e-06,0.0002859794002918257
gobel,-0.05972028254473116,-0.006709000000000742,1.3133535679296178
hexynoate,-1.3606040738523006e-07,-4.9999999873762135e-06,0.00024101543000397622
inoue,-1.3605676940642297e-07,-5.1000000098611054e-05,0.0009073102320281419
johnston,0.00013687326645595022,0.00015000000007603376,0.01718061628177022
mikami,0.0,-6.999999641266186e-06,0.0002985707063103478
nakano,5.442270776256919e-07,-3.999999989900971e-06,0.0002639345373383484
ricci,-0.0002087113243760541,0.00041499999997540726,0.0652031428816346
sasai,0.0,0.0,0.0002508425801175088
sulphon,8.353895100299269e-05,2.199999994445534e-05,0.016455594655360804
superquat,-9.333503840025514e-06,6.999999982326699e-06,0.0010880992831539022
takemoto,-0.0005763371373177506,3.500000002532033e-05,0.15046273308610586
yamamoto,2.9932562028989196e-07,-1.1000000029071089e-05,0.00021482508741261136
