name,N,steps,cpu-time,reopts
2a,11,5,239.9,0
2b,13,4,224.4,0
2c,14,5,327.2,0
2d,12,4,232.9,0
2e,13,4,249.2,0
2f,12,5,217.1,0
2g,12,5,224.6,0
2h,11,6,305.3,0
2i,11,6,275.5,0
