name,N,steps(opt=calcfc),steps(opt),time(opt=calcfc),time(opt),time(freq),dG,RMSD
3a,23,6,5,2601.1,716.9,1097.5,-4.00E-06,0.000323102
3b,21,12,10,3777,1671.4,1130.9,3.00E-05,0.00195775
3c,22,6,12,2714.1,1862.2,1119.9,-1.00E-06,0.00018692
3d,22,5,8,2004.1,989.2,885,2.00E-06,0.00021454
3e,25,6,7,3234.1,1383.1,1366.9,-4.00E-06,0.000310438
3f,27,18,22,8247.7,6072.7,1969.8,1.00E-06,0.000482567
3g,24,9,22,4066.1,4405.3,1439.3,-8.00E-06,0.000408544
3h,24,8,14,3006.8,2222.8,1099.1,-7.00E-06,0.00051476
