name,dE,dG,RMSD
3a,1.7959519027499482e-06,-3.999999989900971e-06,0.00032310172898441115
3b,-2.721153578022495e-07,2.99999999811007e-05,0.0019577499376022866
3c,4.0817212720867246e-07,-9.999999974752427e-07,0.0001869200120615465
3d,-9.523973858449608e-07,2.0000000517939043e-06,0.0002145395068512935
3e,1.4966299204388633e-06,-3.999999989900971e-06,0.0003104383996865969
3f,3.2653770176693797e-07,9.999999974752427e-07,0.00048256716285581937
3g,-1.904772943817079e-07,-7.999999979801942e-06,0.0004085439435925508
3h,0.0,-6.999999982326699e-06,0.0005147597335974615
