name,N,steps,cpu-time,reopts
2a,11,10,942.9,0
2b,13,3,481.4,0
2c,14,4,769.4,0
2d,12,5,618.8,0
2e,13,4,697.5,0
2f,12,5,542.2,0
2g,12,15,984.5,0
2h,11,4,466.1,0
2i,11,4,485.9,0
