name,N,steps,cpu-time,reopts
3a,23,6,2601.1,0
3b,21,12,3777.0,0
3c,22,6,2714.1,0
3d,22,5,2004.1,0
3e,25,6,3234.1,0
3f,27,18,8247.7,0
3g,24,9,4066.1,0
3h,24,8,3006.8,0
