name,N,steps,cpu-time,reopts
antilla,70,20,44569.9,0
bach,56,16,17877.1,0
berkessel,48,20,14927.1,0
boscalid,35,15,7775.6,0
cinchonidine,44,32,20290.4,0
gobel,60,20,48702.1,0
hexynoate,28,25,6464.4,0
inoue,37,19,8964.7,0
johnston,53,29,55793.7,0
mikami,44,32,29881.3,0
nakano,85,18,41999.9,0
ricci,42,33,23765.8,0
sasai,53,19,21993.2,0
segphos,72,79,177638.3,1
sulphon,42,23,18499,0
superquat,41,15,8966.4,0
takemoto,48,21,16063.7,0
terada,58,18,25881,0
urea,69,71,130737.8,1
yamamoto,30,38,7557.2,0
